date+survey,date+reported,adm0+name,adm0+pcode,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,220,24,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,60,12,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,30,6,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,45,9,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,405,81,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,165,33,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,315,63,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,55,11,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,60,12,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,335,67,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,315,63,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,295,59,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,335,67,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,250,50,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,390,78,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,65,13,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,30,6,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,435,87,Khartoum,SD01,SD01003,Bahri
