date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
2023-08-16 00:00:00,Kassala,SD11,SD11052,Halfa Aj Jadeedah,900,180
2023-07-12 00:00:00,Northern,SD17,SD17017,Dongola,900,180
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,900,180
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,900,180
2023-07-12 00:00:00,Northern,SD17,SD17015,Delgo,895,179
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,895,179
2023-08-16 00:00:00,Gedaref,SD12,SD12075,Al Fashaga,890,178
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,890,178
2023-08-23 00:00:00,Gedaref,SD12,SD12077,Basundah,890,178
2023-08-23 00:00:00,Gedaref,SD12,SD12077,Basundah,890,178
2023-07-12 00:00:00,Northern,SD17,SD17015,Delgo,890,178
2023-08-23 00:00:00,South Kordofan,SD07,SD07090,Abassiya,890,158
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,885,177
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,885,177
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,885,177
2023-07-19 00:00:00,Sennar,SD14,SD14041,As Suki,883,175
2023-08-16 00:00:00,Kassala,SD11,SD11060,Reifi Khashm Elgirba,880,176
2023-07-12 00:00:00,Northern,SD17,SD17017,Dongola,880,176
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,880,176
2023-08-23 00:00:00,South Kordofan,SD07,SD07090,Abassiya,880,176
2023-08-23 00:00:00,West Kordofan,SD18,SD18022,An Nuhud,880,156
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,875,175
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,875,175
2023-08-23 00:00:00,South Kordofan,SD07,SD07093,Ar Rashad,873,173
2023-07-12 00:00:00,Northern,SD17,SD17017,Dongola,870,174
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,870,174
2023-07-19 00:00:00,River Nile,SD16,SD16010,Shendi,870,174
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,870,174
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,865,173
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,865,173
2023-08-23 00:00:00,North Kordofan,SD13,SD13023,Um Rawaba,861,179
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,860,172
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,860,172
2023-07-12 00:00:00,Northern,SD17,SD17016,Al Burgaig,855,171
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,855,171
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,850,170
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,850,170
2023-08-23 00:00:00,Red Sea,SD10,SD10064,Port Sudan,850,170
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,850,170
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,850,170
2023-08-23 00:00:00,South Kordofan,SD07,SD07095,Dilling,850,170
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,850,170
2023-07-19 00:00:00,White Nile,SD09,SD09045,Um Rimta,850,170
2023-08-23 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,845,169
2023-07-19 00:00:00,Sennar,SD14,SD14043,Sinja,845,169
2023-08-02 00:00:00,White Nile,SD09,SD09047,Kosti,845,169
2023-08-02 00:00:00,White Nile,SD09,SD09047,Kosti,845,169
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,840,168
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,840,168
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,830,166
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,830,166
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,830,166
2023-07-12 00:00:00,White Nile,SD09,SD09050,Al Gitaina,830,166
2023-07-12 00:00:00,White Nile,SD09,SD09050,Al Gitaina,830,166
2023-07-12 00:00:00,White Nile,SD09,SD09050,Al Gitaina,830,166
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,825,165
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,825,165
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,825,165
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,825,165
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,825,165
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,825,167
2023-08-23 00:00:00,Gedaref,SD12,SD12080,Madeinat Al Gedaref,825,165
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,825,165
2023-08-23 00:00:00,North Kordofan,SD13,SD13023,Um Rawaba,823,171
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,820,164
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,820,164
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,820,164
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,815,163
2023-08-23 00:00:00,Gedaref,SD12,SD12078,Al Galabat Al Gharbyah - Kassab,810,162
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,810,162
2023-07-12 00:00:00,Northern,SD17,SD17015,Delgo,805,161
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,805,161
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,800,160
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,800,141
2023-08-23 00:00:00,Gedaref,SD12,SD12080,Madeinat Al Gedaref,800,160
2023-08-16 00:00:00,Kassala,SD11,SD11052,Halfa Aj Jadeedah,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,800,160
2023-08-16 00:00:00,Northern,SD17,SD17018,Al Golid,795,159
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,790,158
2023-08-23 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,790,158
2023-07-19 00:00:00,Northern,SD17,SD17019,Ad Dabbah,790,158
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,790,158
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,790,158
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,790,158
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,790,158
2023-07-19 00:00:00,Northern,SD17,SD17019,Ad Dabbah,785,157
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,785,157
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,785,157
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,785,157
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,785,157
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,785,157
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,780,156
2023-08-23 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,780,150
2023-08-23 00:00:00,South Kordofan,SD07,SD07088,Abu Jubayhah,780,143
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,780,156
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,775,155
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,775,155
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,775,155
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,775,155
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,775,155
2023-07-19 00:00:00,Northern,SD17,SD17020,Merwoe,775,155
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,775,155
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,775,155
2023-07-12 00:00:00,Northern,SD17,SD17016,Al Burgaig,770,154
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,770,154
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,770,154
2023-08-02 00:00:00,Sennar,SD14,SD14037,Abu Hujar,770,154
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,765,153
2023-08-23 00:00:00,North Kordofan,SD13,SD13023,Um Rawaba,765,159
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,765,153
2023-07-19 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,760,152
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,760,152
2023-08-16 00:00:00,River Nile,SD16,SD16010,Shendi,760,152
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,755,151
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,755,151
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,755,151
2023-07-12 00:00:00,River Nile,SD16,SD16009,Al Matama,755,151
2023-07-19 00:00:00,River Nile,SD16,SD16010,Shendi,755,151
2023-08-16 00:00:00,Kassala,SD11,SD11052,Halfa Aj Jadeedah,755,151
2023-08-23 00:00:00,North Darfur,SD02,SD02136,Um Kadadah,750,150
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,750,150
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,750,150
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,750,150
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,750,150
2023-08-23 00:00:00,Gedaref,SD12,SD12074,Al Fao,750,150
2023-08-23 00:00:00,Gedaref,SD12,SD12080,Madeinat Al Gedaref,750,150
2023-08-23 00:00:00,Gedaref,SD12,SD12080,Madeinat Al Gedaref,750,150
2023-08-09 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,750,150
2023-08-23 00:00:00,Red Sea,SD10,SD10064,Port Sudan,750,150
2023-07-19 00:00:00,Sennar,SD14,SD14041,As Suki,750,150
2023-08-23 00:00:00,South Darfur,SD03,SD03172,Damso,750,150
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,750,150
2023-07-19 00:00:00,White Nile,SD09,SD09045,Um Rimta,750,150
2023-08-16 00:00:00,Kassala,SD11,SD11060,Reifi Khashm Elgirba,745,149
2023-07-12 00:00:00,Northern,SD17,SD17016,Al Burgaig,745,149
2023-07-12 00:00:00,White Nile,SD09,SD09048,Tendalti,745,149
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,745,153
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,740,148
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,740,148
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,740,148
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,740,148
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,735,147
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,735,147
2023-08-23 00:00:00,Gedaref,SD12,SD12073,Al Butanah,735,147
2023-08-23 00:00:00,North Kordofan,SD13,SD13024,Sheikan,730,146
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,730,146
2023-08-16 00:00:00,Gedaref,SD12,SD12074,Al Fao,725,145
2023-07-19 00:00:00,Northern,SD17,SD17020,Merwoe,725,145
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,720,144
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,720,144
2023-08-16 00:00:00,River Nile,SD16,SD16010,Shendi,720,144
2023-07-12 00:00:00,White Nile,SD09,SD09048,Tendalti,715,143
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,705,141
2023-08-23 00:00:00,Blue Nile,SD08,SD08107,Ar Rusayris,705,141
2023-08-23 00:00:00,South Kordofan,SD07,SD07107,Delami,705,150
2023-08-23 00:00:00,North Darfur,SD02,SD02116,Al Koma,700,140
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,700,140
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,700,140
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15032,Um Algura,700,140
2023-08-23 00:00:00,Khartoum,SD01,SD01003,Bahri,700,140
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,700,140
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,700,140
2023-08-23 00:00:00,Sennar,SD14,SD14040,Ad Dinder,700,140
2023-08-23 00:00:00,Gedaref,SD12,SD12080,Madeinat Al Gedaref,700,140
2023-07-19 00:00:00,White Nile,SD09,SD09045,Um Rimta,700,140
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,695,139
2023-08-23 00:00:00,Blue Nile,SD08,SD08107,Ar Rusayris,695,139
2023-08-23 00:00:00,North Kordofan,SD13,SD13024,Sheikan,695,119
2023-07-12 00:00:00,Northern,SD17,SD17018,Al Golid,695,139
2023-07-12 00:00:00,White Nile,SD09,SD09050,Al Gitaina,695,139
